"시점","월별",금년
"2021","1월",44
"2021","2월",82
"2021","3월",44
"2021","4월",94
"2021","5월",20
"2021","6월",3
"2021","7월",7
"2021","8월",6
"2021","9월",1
"2021","10월",-
"2021","11월",24
"2021","12월",24
